"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease","stateLong"
"2020-11-06","AK","A",84,84,0,NA,NA,NA,106,0,NA,NA,762602,-1050,NA,NA,761522,NA,7,18699,18699,525,0,NA,NA,NA,NA,19404,7122,NA,0,781301,-525,NA,NA,NA,NA,NA,0,781301,-525,"Alaska"
"2020-11-06","AL","A",3049,2839,23,210,21294,21294,1022,267,2110,NA,1217002,7161,NA,NA,NA,1220,NA,200714,170446,1556,0,NA,NA,NA,NA,NA,84471,NA,0,1387448,8341,NA,NA,65871,NA,NA,0,1387448,8341,"Alabama"
"2020-11-06","AR","A+",2056,1878,19,178,7401,7401,633,75,NA,235,1298264,12651,NA,NA,1298264,863,105,119230,108738,1870,0,NA,3300,NA,11961,NA,105746,NA,0,1407002,14097,NA,21856,NA,73502,NA,0,1407002,14097,"Arkansas"
"2020-11-06","AS","D",0,NA,0,NA,NA,NA,NA,0,NA,NA,1768,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1768,0,NA,NA,NA,NA,NA,0,1768,0,NA
"2020-11-06","AZ","A+",6109,5714,22,395,22018,22018,1082,187,NA,250,1593981,20120,NA,NA,NA,NA,138,254764,248330,1996,0,NA,NA,NA,NA,NA,42652,NA,0,1842311,15682,323662,NA,NA,NA,1842311,15682,NA,0,"Arizona"
"2020-11-06","CA","B",17866,NA,51,NA,NA,NA,3489,0,NA,923,18445255,123468,NA,NA,NA,NA,NA,951094,951094,6518,0,NA,NA,NA,NA,NA,NA,NA,0,19396349,129986,NA,NA,NA,NA,NA,0,19396349,129986,"California"
"2020-11-06","CO","A",2158,NA,11,NA,9714,9714,1016,96,NA,NA,1173474,11264,173088,NA,NA,NA,NA,121006,113607,3369,0,13913,NA,NA,NA,NA,8366,2141933,32819,2141933,32819,187001,NA,NA,NA,1287081,14587,NA,0,"Colorado"
"2020-11-06","CT","B",4671,3757,15,914,12257,12257,402,0,NA,NA,2356349,0,NA,NA,NA,NA,NA,78125,73206,1065,0,NA,NA,NA,NA,NA,9800,NA,0,2434474,1065,NA,26512,NA,NA,NA,0,2428610,0,"Connecticut"
"2020-11-06","DC","A+",652,NA,2,NA,NA,NA,79,0,NA,25,528531,5711,NA,NA,NA,NA,9,17792,NA,110,0,NA,NA,NA,NA,NA,13738,546323,5821,546323,5821,NA,NA,NA,NA,264455,1626,NA,0,"District of Columbia"
"2020-11-06","DE","A+",716,629,0,87,NA,NA,114,0,NA,27,334846,2213,NA,NA,NA,NA,NA,26035,24835,282,0,NA,NA,NA,NA,27700,13766,577122,3331,577122,3331,NA,NA,NA,NA,360881,2495,NA,0,"Delaware"
"2020-11-06","FL","A",17224,17224,54,NA,50868,50868,2564,198,NA,NA,5504450,29721,531822,517552,8179656,NA,NA,821526,779662,5150,0,62323,NA,60854,NA,1061448,NA,10405346,76349,10405346,76349,594540,NA,578706,NA,6325976,34871,9288035,59562,"Florida"
"2020-11-06","GA","A+",8608,8156,30,452,32317,32317,1848,100,6075,NA,3321627,17835,NA,NA,3345637,NA,NA,370106,370106,1738,0,30818,NA,NA,32321,346096,NA,NA,0,3691733,19573,336077,NA,NA,NA,NA,0,3691733,19573,"Georgia"
"2020-11-06","GU","A",88,NA,3,NA,NA,NA,86,0,NA,21,66027,564,NA,NA,NA,NA,10,5077,4998,73,0,7,79,NA,NA,NA,3403,NA,0,71104,637,209,699,NA,NA,71025,631,70403,615,NA
"2020-11-06","HI","B",219,NA,0,NA,1138,1138,68,13,NA,13,295153,0,NA,NA,NA,NA,9,15785,15572,99,0,NA,NA,NA,NA,15520,11958,551803,4470,551803,4470,NA,NA,NA,NA,308090,0,NA,0,"Hawaii"
"2020-11-06","IA","A+",1818,NA,16,NA,NA,NA,912,0,NA,188,788507,2835,NA,64555,NA,NA,67,133510,133510,2778,0,NA,NA,3987,11106,NA,99243,NA,0,922017,5613,NA,NA,68582,90450,923705,5609,NA,0,"Iowa"
"2020-11-06","ID","A",671,622,7,49,2788,2788,296,58,568,77,338656,2160,NA,NA,NA,NA,NA,69579,60065,1265,0,NA,NA,NA,NA,NA,31574,NA,0,398721,3045,NA,17332,NA,NA,398721,3045,543322,4301,"Idaho"
"2020-11-06","IL","A",10397,10079,84,318,NA,NA,4090,0,NA,786,7749589,80352,NA,NA,NA,NA,339,465540,447491,11790,0,NA,NA,NA,NA,NA,NA,NA,0,8215129,92142,NA,NA,NA,NA,NA,0,8215129,98401,"Illinois"
"2020-11-06","IN","A+",4547,4306,36,241,18005,18005,2001,207,3477,540,1576282,10511,NA,NA,NA,NA,191,200823,NA,4647,0,NA,NA,NA,NA,191092,130248,NA,0,3117069,43214,NA,NA,NA,NA,1777105,15158,3117069,43214,"Indiana"
"2020-11-06","KS","A+",1166,NA,79,NA,4067,4067,693,83,1122,183,578687,7222,NA,NA,NA,337,62,97633,NA,5418,0,NA,NA,NA,NA,NA,2808,NA,0,676320,12640,NA,NA,NA,NA,676320,12640,NA,0,"Kansas"
"2020-11-06","KY","B",1544,1520,10,24,7708,7708,1153,127,1922,299,2079371,166478,NA,NA,NA,NA,NA,117505,98138,2228,0,NA,NA,NA,NA,NA,20926,NA,0,2177509,168192,87275,71347,NA,NA,NA,0,2177509,168192,"Kentucky"
"2020-11-06","LA","A",6016,5787,21,229,NA,NA,644,0,NA,NA,2674761,17940,NA,NA,NA,NA,81,191715,186695,870,0,NA,NA,NA,NA,NA,172210,NA,0,2866476,18810,NA,NA,NA,NA,2861456,18810,NA,0,"Louisiana"
"2020-11-06","MA","A+",10106,9880,21,226,13373,13373,513,0,NA,118,2690585,18652,NA,NA,NA,NA,57,167274,162736,2113,0,NA,NA,11842,NA,209659,131646,NA,0,6547668,86357,NA,NA,128053,200056,2853321,20690,6547668,86357,"Massachusetts"
"2020-11-06","MD","A",4194,4046,12,148,17537,17537,609,102,NA,152,1851665,11606,NA,136605,NA,NA,NA,151505,151505,1541,0,NA,NA,14048,NA,182511,8262,NA,0,3587697,35366,NA,NA,150653,NA,2003170,13147,3587697,35366,"Maryland"
"2020-11-06","ME","A+",150,149,0,1,513,513,37,3,NA,14,668621,8031,11868,NA,666689,NA,3,7444,6565,184,0,367,25,NA,NA,8110,5830,NA,0,676065,8215,12247,42,NA,NA,NA,0,675186,8179,"Maine"
"2020-11-06","MI","A+",7880,7513,47,367,NA,NA,2425,0,NA,484,4984958,48339,NA,NA,4984958,NA,202,222509,201569,4246,0,NA,NA,NA,NA,266355,121093,NA,0,5207467,52585,336396,NA,NA,NA,NA,0,5251313,115366,"Michigan"
"2020-11-06","MN","A",2591,2563,36,28,11193,11193,1038,177,2864,224,1793542,16911,NA,NA,NA,NA,NA,170307,169230,5442,0,NA,NA,NA,NA,NA,139190,2990965,43812,2990965,43812,NA,38143,NA,NA,1962772,22212,NA,0,"Minnesota"
"2020-11-06","MO","A+",3131,NA,25,NA,NA,NA,1834,0,NA,517,1366724,6299,83033,71709,2417371,NA,226,200507,200507,3931,0,5869,8808,3618,NA,226960,NA,NA,0,2649277,24307,89114,53513,84925,37813,1567231,10230,2649277,24307,"Missouri"
"2020-11-06","MP","D",2,2,0,NA,4,4,NA,0,NA,NA,15993,0,NA,NA,NA,NA,NA,98,98,2,0,NA,NA,NA,NA,NA,29,NA,0,16091,2,NA,NA,NA,NA,16085,0,22633,0,NA
"2020-11-06","MS","A+",3419,3063,14,356,6728,6728,695,0,NA,176,837208,0,NA,NA,NA,NA,82,124854,107405,967,0,95,NA,NA,NA,NA,105839,NA,0,962062,967,45873,106901,NA,NA,NA,0,942578,0,"Mississippi"
"2020-11-06","MT","B",419,NA,12,NA,1447,1447,437,26,NA,NA,485649,2593,NA,NA,NA,NA,NA,37947,37947,979,0,NA,NA,NA,NA,NA,23607,NA,0,523596,3572,NA,NA,NA,NA,NA,0,523596,3572,"Montana"
"2020-11-06","NC","A+",4582,4489,34,93,NA,NA,1161,0,NA,311,3988807,47526,NA,NA,NA,NA,NA,288569,275790,2908,0,NA,NA,NA,NA,NA,246318,NA,0,4277376,50434,NA,45126,NA,NA,NA,0,4264597,50143,"North Carolina"
"2020-11-06","ND","B",480,475,12,5,1817,1817,375,41,337,48,254063,930,10318,NA,NA,NA,NA,51602,51602,1765,0,719,NA,NA,NA,NA,41175,884732,11387,884732,11387,11037,NA,NA,NA,305665,2695,923087,12271,"North Dakota"
"2020-11-06","NE","A",674,NA,5,NA,3201,3201,720,53,NA,NA,536031,3615,NA,NA,907738,NA,NA,78012,78012,2124,0,NA,NA,NA,NA,91239,45658,NA,0,1000225,12727,NA,NA,NA,NA,614362,5739,1000225,12727,"Nebraska"
"2020-11-06","NH","B",488,NA,2,NA,790,790,48,2,259,NA,346718,2168,NA,NA,NA,NA,NA,12012,12012,204,0,NA,NA,NA,NA,NA,9894,NA,0,651044,6453,33242,NA,32350,NA,358730,2372,651044,6453,"New Hampshire"
"2020-11-06","NJ","A",16416,14616,13,1800,38178,38178,1336,123,NA,274,4614056,43223,NA,NA,NA,NA,81,249380,249380,2161,0,NA,NA,NA,NA,NA,37818,NA,0,4863436,45384,NA,NA,NA,NA,NA,0,4863436,45384,"New Jersey"
"2020-11-06","NM","B",1082,NA,23,NA,4969,4969,400,73,NA,NA,1179095,10541,NA,NA,NA,NA,NA,51110,51110,859,0,NA,NA,NA,NA,NA,22459,NA,0,1230205,11400,NA,NA,NA,NA,NA,0,1230205,11400,"New Mexico"
"2020-11-06","NV","A+",1845,NA,21,NA,NA,NA,770,0,NA,183,728492,4279,NA,NA,NA,NA,85,106922,106922,1562,0,NA,NA,NA,NA,NA,2525,1312492,13371,1312492,13371,NA,NA,NA,NA,835414,5841,1154583,0,"Nevada"
"2020-11-06","NY","B",25910,NA,18,NA,89995,89995,1321,0,NA,285,14833860,157496,NA,NA,NA,NA,129,522021,522021,3209,0,NA,NA,NA,NA,NA,80368,15355881,160705,15355881,160705,NA,NA,NA,NA,NA,0,NA,0,"New York"
"2020-11-06","OH","A+",5494,5165,33,329,20246,20246,2170,231,3991,547,4460636,0,NA,NA,NA,NA,280,240178,226796,5008,0,NA,NA,NA,NA,NA,180758,NA,0,4700814,5008,NA,NA,NA,NA,NA,0,4682517,0,"Ohio"
"2020-11-06","OK","A+",1429,NA,16,NA,9438,9438,1025,100,NA,326,1557850,14166,NA,NA,1557850,NA,NA,131751,131751,1878,0,5285,NA,NA,NA,144206,113227,NA,0,1689601,16044,91240,NA,NA,NA,NA,0,1705067,16255,"Oklahoma"
"2020-11-06","OR","A+",716,NA,6,NA,3378,3378,266,44,NA,62,848994,7806,NA,NA,848994,NA,27,48608,46120,769,0,NA,NA,NA,NA,NA,5870,NA,0,897602,8575,NA,NA,NA,NA,895114,8546,NA,0,"Oregon"
"2020-11-06","PA","A+",8975,NA,38,NA,NA,NA,1597,0,NA,351,2408366,17030,NA,NA,NA,NA,149,223950,212258,3384,0,NA,NA,NA,NA,NA,165723,NA,0,2632316,20414,NA,NA,NA,NA,2620624,19940,4309357,54371,"Pennsylvania"
"2020-11-06","PR","B",862,659,7,203,NA,NA,518,0,NA,68,305972,0,NA,NA,303412,NA,42,70519,36904,1103,0,33615,NA,NA,NA,7002,31915,NA,0,376491,1103,NA,NA,NA,NA,NA,0,310546,0,NA
"2020-11-06","RI","A+",1224,NA,2,NA,3488,3488,187,16,NA,21,417267,2589,NA,NA,1170141,NA,12,36380,36380,630,0,NA,NA,NA,NA,47775,2891,1217916,17165,1217916,17165,NA,NA,NA,NA,453647,3219,NA,0,"Rhode Island"
"2020-11-06","SC","A+",4005,3748,13,257,10776,10776,767,50,NA,204,1714225,22579,72567,NA,1659483,NA,91,182872,173186,1233,0,9278,18123,NA,NA,227928,95045,NA,0,1897097,23812,81845,130900,NA,NA,NA,0,1887411,23549,"South Carolina"
"2020-11-06","SD","A",510,NA,28,NA,3023,3023,493,68,NA,NA,219551,1566,NA,NA,NA,NA,NA,52639,50248,1488,0,NA,NA,NA,NA,NA,37703,NA,0,272190,3054,NA,NA,NA,NA,272190,3054,465353,9013,"South Dakota"
"2020-11-06","TN","A+",3541,3324,32,217,10618,10618,1631,72,NA,505,3518263,9902,NA,NA,3466790,NA,191,273144,256845,1373,0,NA,15680,NA,NA,308318,246392,NA,0,3791407,11275,NA,135885,NA,NA,NA,0,3775108,11027,"Tennessee"
"2020-11-06","TX","A",18589,NA,136,NA,NA,NA,6070,0,NA,1785,7611227,62493,NA,NA,NA,NA,NA,942539,942539,7545,0,49570,31889,NA,NA,NA,807008,NA,0,8553766,70038,500132,388999,NA,NA,NA,0,8553766,70038,"Texas"
"2020-11-06","UT","A+",649,NA,17,NA,5922,5922,414,92,1216,167,962716,6700,NA,NA,1332613,465,NA,127279,127279,2987,0,NA,7054,NA,6794,130943,91340,NA,0,1463556,15707,NA,103488,NA,46831,1089995,9687,1463556,15707,"Utah"
"2020-11-06","VA","A+",3682,3432,-6,250,22423,22423,1057,70,NA,216,2569584,22796,NA,NA,NA,NA,96,188770,173645,1568,0,NA,NA,NA,NA,207023,21366,2743229,24023,2743229,24023,NA,NA,NA,NA,NA,0,NA,0,"Virginia"
"2020-11-06","VI","D",23,23,0,NA,NA,NA,NA,0,NA,NA,23728,212,NA,NA,NA,NA,NA,1390,NA,2,0,NA,NA,NA,NA,NA,1340,NA,0,25118,214,NA,NA,NA,NA,NA,0,25153,219,NA
"2020-11-06","VT","B",58,58,0,NA,NA,NA,4,0,NA,2,190402,678,NA,NA,NA,NA,NA,2326,2326,23,0,NA,NA,NA,NA,NA,1904,NA,0,428851,4429,NA,NA,NA,NA,192728,701,428851,4429,"Vermont"
"2020-11-06","WA","B",2431,2431,15,NA,8784,8784,394,49,NA,NA,2428524,20510,NA,NA,NA,NA,48,112550,112550,1070,0,NA,NA,NA,NA,NA,NA,2541074,21580,2541074,21580,NA,NA,NA,NA,NA,0,NA,0,"Washington"
"2020-11-06","WI","A+",2333,2256,64,77,12554,12554,1787,244,1557,385,1896457,14644,NA,NA,NA,NA,NA,269982,256065,6411,0,NA,NA,NA,NA,NA,198090,3497021,56991,3497021,56991,NA,NA,NA,NA,2152522,20785,NA,0,"Wisconsin"
"2020-11-06","WV","B",487,478,7,9,NA,NA,280,0,NA,93,799972,9427,NA,NA,NA,NA,31,27087,24672,540,0,NA,NA,NA,NA,NA,20465,NA,0,827059,9967,19416,NA,NA,NA,NA,0,824644,9900,"West Virginia"
"2020-11-06","WY","B",105,NA,0,NA,499,499,147,7,NA,NA,123769,965,NA,NA,276335,NA,NA,16405,13871,996,0,NA,NA,NA,NA,14850,10012,NA,0,140174,1961,NA,NA,NA,NA,137640,1882,291186,10903,"Wyoming"
"2020-11-05","AK","A",84,84,0,NA,NA,NA,104,0,NA,NA,763652,153754,NA,NA,757381,NA,7,18174,18174,314,0,NA,NA,NA,NA,24089,7125,NA,0,781826,154068,NA,NA,NA,NA,NA,0,781826,154068,"Alaska"
"2020-11-05","AL","A",3026,2818,20,208,21027,21027,994,0,2100,NA,1209841,6344,NA,NA,NA,1214,NA,199158,169266,1381,0,NA,NA,NA,NA,NA,84471,NA,0,1379107,7495,NA,NA,65657,NA,NA,0,1379107,7495,"Alabama"
"2020-11-05","AR","A+",2037,1863,11,174,7326,7326,633,53,NA,235,1285613,11628,NA,NA,1285613,859,105,117360,107292,1548,0,NA,3300,NA,11451,NA,104816,NA,0,1392905,12783,NA,21856,NA,70983,NA,0,1392905,12783,"Arkansas"
"2020-11-05","AS","D",0,NA,0,NA,NA,NA,NA,0,NA,NA,1768,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1768,0,NA,NA,NA,NA,NA,0,1768,0,NA
"2020-11-05","AZ","A+",6087,5707,28,380,21831,21831,1100,45,NA,254,1573861,5997,NA,NA,NA,NA,128,252768,246468,2135,0,NA,NA,NA,NA,NA,42317,NA,0,1826629,14303,322766,NA,NA,NA,1826629,14303,NA,0,"Arizona"
"2020-11-05","CA","B",17815,NA,63,NA,NA,NA,3462,0,NA,922,18321787,80785,NA,NA,NA,NA,NA,944576,944576,4566,0,NA,NA,NA,NA,NA,NA,NA,0,19266363,85351,NA,NA,NA,NA,NA,0,19266363,85351,"California"
"2020-11-05","CO","A",2147,NA,13,NA,9618,9618,970,438,NA,NA,1162210,9774,172469,NA,NA,NA,NA,117637,110284,2928,0,13795,NA,NA,NA,NA,8268,2109114,26963,2109114,26963,186264,NA,NA,NA,1272494,12641,NA,0,"Colorado"
"2020-11-05","CT","B",4656,3744,11,912,12257,12257,380,0,NA,NA,2356349,29845,NA,NA,NA,NA,NA,77060,72261,1687,0,NA,NA,NA,NA,NA,9800,NA,0,2433409,31532,NA,26512,NA,NA,NA,0,2428610,30868,"Connecticut"
"2020-11-05","DC","A+",650,NA,3,NA,NA,NA,83,0,NA,26,522820,3330,NA,NA,NA,NA,24,17682,NA,81,0,NA,NA,NA,NA,NA,13653,540502,3411,540502,3411,NA,NA,NA,NA,262829,1122,NA,0,"District of Columbia"
"2020-11-05","DE","A+",716,629,4,87,NA,NA,113,0,NA,28,332633,1503,NA,NA,NA,NA,NA,25753,24554,219,0,NA,NA,NA,NA,27537,13685,573791,1308,573791,1308,NA,NA,NA,NA,358386,1722,NA,0,"Delaware"
"2020-11-05","FL","A",17170,17170,39,NA,50670,50670,2523,191,NA,NA,5474729,37818,525620,509924,8126664,NA,NA,816376,775950,6120,0,60753,NA,59014,NA,1055010,NA,10328997,92039,10328997,92039,586749,NA,569222,NA,6291105,43938,9228473,71991,"Florida"
"2020-11-05","GA","A+",8578,8126,56,452,32217,32217,1780,175,6058,NA,3303792,22966,NA,NA,3327586,NA,NA,368368,368368,1916,0,30621,NA,NA,31257,344574,NA,NA,0,3672160,24882,334992,NA,NA,NA,NA,0,3672160,24882,"Georgia"
"2020-11-05","GU","A",85,NA,2,NA,NA,NA,90,0,NA,20,65463,610,NA,NA,NA,NA,11,5004,4931,101,0,7,73,NA,NA,NA,3352,NA,0,70467,711,208,677,NA,NA,70394,711,69788,696,NA
"2020-11-05","HI","B",219,NA,0,NA,1125,1125,57,1,NA,11,295153,0,NA,NA,NA,NA,8,15686,15473,155,0,NA,NA,NA,NA,15406,11958,547333,5848,547333,5848,NA,NA,NA,NA,308090,0,NA,0,"Hawaii"
"2020-11-05","IA","A+",1802,NA,15,NA,NA,NA,839,0,NA,188,785672,4358,NA,64339,NA,NA,60,130732,130732,3992,0,NA,NA,3970,10502,NA,98037,NA,0,916404,8350,NA,NA,68349,88445,918096,8340,NA,0,"Iowa"
"2020-11-05","ID","A",664,616,17,48,2730,2730,296,39,566,77,336496,1746,NA,NA,NA,NA,NA,68314,59180,1290,0,NA,NA,NA,NA,NA,31210,NA,0,395676,2703,NA,12903,NA,NA,395676,2703,539021,3956,"Idaho"
"2020-11-05","IL","A",10313,10030,97,283,NA,NA,3891,0,NA,772,7669237,76080,NA,NA,NA,NA,343,453750,447491,9935,0,NA,NA,NA,NA,NA,NA,NA,0,8122987,86015,NA,NA,NA,NA,NA,0,8116728,86015,"Illinois"
"2020-11-05","IN","A+",4511,4269,47,242,17798,17798,1948,185,3433,568,1565771,9039,NA,NA,NA,NA,197,196176,NA,4412,0,NA,NA,NA,NA,187475,128674,NA,0,3073855,41093,NA,NA,NA,NA,1761947,13451,3073855,41093,"Indiana"
"2020-11-05","KS","A+",1087,NA,0,NA,3984,3984,567,0,1106,160,571465,0,NA,NA,NA,334,60,92215,NA,0,0,NA,NA,NA,NA,NA,2753,NA,0,663680,0,NA,NA,NA,NA,663680,0,NA,0,"Kansas"
"2020-11-05","KY","B",1534,1511,20,23,7581,7581,1102,134,1869,291,1912893,26248,NA,NA,NA,NA,NA,115277,96424,2268,0,NA,NA,NA,NA,NA,20304,NA,0,2009317,27981,87080,70171,NA,NA,NA,0,2009317,27981,"Kentucky"
"2020-11-05","LA","A",5995,5766,20,229,NA,NA,636,0,NA,NA,2656821,21066,NA,NA,NA,NA,82,190845,185825,681,0,NA,NA,NA,NA,NA,172210,NA,0,2847666,21747,NA,NA,NA,NA,2842646,21747,NA,0,"Louisiana"
"2020-11-05","MA","A+",10085,9859,23,226,13373,13373,498,74,NA,115,2671933,22693,NA,NA,NA,NA,56,165161,160698,1862,0,NA,NA,NA,NA,207306,131646,NA,0,6461311,86359,NA,NA,127372,197543,2832631,24454,6461311,86359,"Massachusetts"
"2020-11-05","MD","A",4182,4035,10,147,17435,17435,588,72,NA,157,1840059,9758,NA,136605,NA,NA,NA,149964,149964,1198,0,NA,NA,14048,NA,180737,8255,NA,0,3552331,27944,NA,NA,150653,NA,1990023,10956,3552331,27944,"Maryland"
"2020-11-05","ME","A+",150,149,0,1,510,510,38,3,NA,17,660590,10417,11861,NA,658665,NA,2,7260,6417,183,0,364,23,NA,NA,7957,5751,NA,0,667850,10600,12237,39,NA,NA,NA,0,667007,10593,"Maine"
"2020-11-05","MI","A+",7833,7470,51,363,NA,NA,2280,0,NA,475,4936619,55103,NA,NA,4936619,NA,194,218263,197806,6103,0,NA,NA,NA,NA,260736,121093,NA,0,5154882,61206,333334,NA,NA,NA,NA,0,5135947,0,"Michigan"
"2020-11-05","MN","A",2555,2530,25,25,11016,11016,931,167,2839,216,1776631,17089,NA,NA,NA,NA,NA,164865,163929,3942,0,NA,NA,NA,NA,NA,137824,2947153,32216,2947153,32216,NA,37178,NA,NA,1940560,20948,NA,0,"Minnesota"
"2020-11-05","MO","A+",3106,NA,18,NA,NA,NA,1774,0,NA,511,1360425,6493,82881,71709,2397240,NA,233,196576,196576,3553,0,5812,8468,3618,NA,222827,NA,NA,0,2624970,22090,88905,51692,84750,35931,1557001,10046,2624970,22090,"Missouri"
"2020-11-05","MP","D",2,2,0,NA,4,4,NA,0,NA,NA,15993,0,NA,NA,NA,NA,NA,96,96,0,0,NA,NA,NA,NA,NA,29,NA,0,16089,0,NA,NA,NA,NA,16085,0,22633,0,NA
"2020-11-05","MS","A+",3405,3053,8,352,6728,6728,640,0,NA,154,837208,0,NA,NA,NA,NA,76,123887,106882,1612,0,95,NA,NA,NA,NA,105839,NA,0,961095,1612,45873,106901,NA,NA,NA,0,942578,0,"Mississippi"
"2020-11-05","MT","B",407,NA,3,NA,1421,1421,414,19,NA,NA,483056,1723,NA,NA,NA,NA,NA,36968,36968,1013,0,NA,NA,NA,NA,NA,23300,NA,0,520024,2736,NA,NA,NA,NA,NA,0,520024,2736,"Montana"
"2020-11-05","NC","A+",4548,4457,41,91,NA,NA,1193,0,NA,323,3941281,39825,NA,NA,NA,NA,NA,285661,273173,2859,0,NA,NA,NA,NA,NA,246318,NA,0,4226942,42684,NA,41718,NA,NA,NA,0,4214454,42323,"North Carolina"
"2020-11-05","ND","B",468,463,14,5,1776,1776,366,38,333,51,253133,345,10288,NA,NA,NA,NA,49837,49837,1536,0,710,NA,NA,NA,NA,40017,873345,9017,873345,9017,10998,NA,NA,NA,302970,1889,910816,9773,"North Dakota"
"2020-11-05","NE","A",669,NA,9,NA,3148,3148,698,26,NA,NA,532416,2586,NA,NA,897377,NA,NA,75888,75888,1828,0,NA,NA,NA,NA,88869,45772,NA,0,987498,11966,NA,NA,NA,NA,608623,4414,987498,11966,"Nebraska"
"2020-11-05","NH","B",486,NA,2,NA,788,788,44,1,259,NA,344550,4977,NA,NA,NA,NA,NA,11808,11808,245,0,NA,NA,NA,NA,NA,9776,NA,0,644591,9321,33216,NA,32326,NA,356358,5222,644591,9321,"New Hampshire"
"2020-11-05","NJ","A",16403,14603,12,1800,38055,38055,1224,97,NA,238,4570833,46999,NA,NA,NA,NA,85,247219,247219,1962,0,NA,NA,NA,NA,NA,37696,NA,0,4818052,48961,NA,NA,NA,NA,NA,0,4818052,51393,"New Jersey"
"2020-11-05","NM","B",1059,NA,14,NA,4896,4896,393,59,NA,NA,1168554,15447,NA,NA,NA,NA,NA,50251,50251,1011,0,NA,NA,NA,NA,NA,22274,NA,0,1218805,16458,NA,NA,NA,NA,NA,0,1218805,16458,"New Mexico"
"2020-11-05","NV","A+",1824,NA,10,NA,NA,NA,740,0,NA,170,724213,4763,NA,NA,NA,NA,75,105360,105360,1267,0,NA,NA,NA,NA,NA,2511,1299121,12915,1299121,12915,NA,NA,NA,NA,829573,6030,1154583,0,"Nevada"
"2020-11-05","NY","B",25892,NA,24,NA,89995,89995,1277,0,NA,268,14676364,158022,NA,NA,NA,NA,128,518812,518812,2997,0,NA,NA,NA,NA,NA,80225,15195176,161019,15195176,161019,NA,NA,NA,NA,NA,0,NA,0,"New York"
"2020-11-05","OH","A+",5461,5133,33,328,20015,20015,2075,214,3969,541,4460636,46429,NA,NA,NA,NA,270,235170,221881,4961,0,NA,NA,NA,NA,NA,178646,NA,0,4695806,51390,NA,NA,NA,NA,NA,0,4682517,51281,"Ohio"
"2020-11-05","OK","A+",1413,NA,21,NA,9338,9338,1055,119,NA,337,1543684,14339,NA,NA,1543684,NA,NA,129873,129873,2101,0,5049,NA,NA,NA,142196,111695,NA,0,1673557,16440,89217,NA,NA,NA,NA,0,1688812,16911,"Oklahoma"
"2020-11-05","OR","A+",710,NA,5,NA,3334,3334,322,22,NA,62,841188,5283,NA,NA,841188,NA,27,47839,45380,790,0,NA,NA,NA,NA,NA,5870,NA,0,889027,6073,NA,NA,NA,NA,886568,6037,NA,0,"Oregon"
"2020-11-05","PA","A+",8937,NA,47,NA,NA,NA,1599,0,NA,335,2391336,17071,NA,NA,NA,NA,147,220566,209348,2900,0,NA,NA,NA,NA,NA,165424,NA,0,2611902,19971,NA,NA,NA,NA,2600684,19619,4254986,47536,"Pennsylvania"
"2020-11-05","PR","B",855,653,5,202,NA,NA,483,0,NA,60,305972,0,NA,NA,303412,NA,40,69416,36101,396,0,33315,NA,NA,NA,7002,31182,NA,0,375388,396,NA,NA,NA,NA,NA,0,310546,0,NA
"2020-11-05","RI","A+",1222,NA,8,NA,3472,3472,182,40,NA,20,414678,2779,NA,NA,1153730,NA,11,35750,35750,628,0,NA,NA,NA,NA,47021,2881,1200751,16392,1200751,16392,NA,NA,NA,NA,450428,3407,NA,0,"Rhode Island"
"2020-11-05","SC","A+",3992,3736,7,256,10726,10726,755,70,NA,214,1691646,6628,72237,NA,1637644,NA,102,181639,172216,769,0,9176,17719,NA,NA,226218,94333,NA,0,1873285,7397,81413,126687,NA,NA,NA,0,1863862,7202,"South Carolina"
"2020-11-05","SD","A",482,NA,22,NA,2955,2955,475,82,NA,NA,217985,980,NA,NA,NA,NA,NA,51151,48833,1360,0,NA,NA,NA,NA,NA,37059,NA,0,269136,2340,NA,NA,NA,NA,269136,2340,456340,5909,"South Dakota"
"2020-11-05","TN","A+",3509,3297,31,212,10546,10546,1701,62,NA,482,3508361,17779,NA,NA,3457022,NA,209,271771,255720,1969,0,NA,15455,NA,NA,307059,243492,NA,0,3780132,19748,NA,132225,NA,NA,NA,0,3764081,19441,"Tennessee"
